treatment,treatment_label,replicate,week,soil_pH,organic_carbon_pct,available_N_mgkg,available_P_mgkg,available_K_mgkg,MBC_ugg,MBN_ugg,MBP_ugg,MBK_ugg,urease_activity,amylase_activity,dehydrogenase_activity,genus_Bacillus,genus_Pseudomonas,genus_Azotobacter,genus_Rhizobium,genus_Streptomyces,genus_Arthrobacter,genus_Enterobacter,genus_Nitrosomonas,genus_Flavobacterium,genus_Serratia,genus_Micrococcus,genus_Paenibacillus,leaf_number_6wap,plant_height_cm,shoot_dry_matter_g,grain_yield_kg_ha
G,Humic acid extract,3,0,6.17,2.03,79.0,16.7,92.1,189.8,32.2,13.5,18.7,23.99,12.29,8.87,529,765,481,687,1245,1358,651,561,1467,452,187,503,,36.3,6.52,
G,Humic acid extract,3,2,6.42,1.86,71.7,13.9,87.5,192.5,33.7,14.4,20.6,29.64,11.11,8.83,500,554,1377,531,629,573,2463,754,868,1303,730,640,,35.4,6.25,
G,Humic acid extract,3,4,6.23,2.12,80.5,13.0,81.2,209.9,24.7,13.8,20.2,29.15,11.54,9.72,761,496,1270,606,1938,446,1181,390,689,912,648,498,,34.8,5.67,
G,Humic acid extract,3,6,6.03,2.08,80.5,18.1,78.3,197.9,27.1,16.1,21.0,23.42,12.63,9.76,544,788,557,991,1285,704,1043,2220,794,657,646,1096,11.1,36.5,5.32,
G,Humic acid extract,3,8,6.42,2.09,83.1,16.1,91.5,218.6,27.5,13.2,26.1,26.29,13.46,10.4,663,895,913,771,1266,241,881,940,1228,1506,1284,1280,,33.1,4.98,
G,Humic acid extract,3,10,6.18,2.21,73.2,17.4,91.6,243.8,31.4,13.2,23.2,28.32,10.95,7.14,808,1385,1596,745,1205,458,547,918,722,731,1267,362,,35.2,6.59,
G,Humic acid extract,3,12,6.22,2.3,78.4,14.6,97.2,218.4,31.2,12.5,20.9,29.7,10.86,9.98,173,542,372,1249,880,331,1376,675,1059,424,1467,460,,38.5,5.27,3779.7
G,Humic acid extract,4,0,6.37,2.14,71.4,13.8,87.4,205.3,29.6,15.2,23.3,21.1,11.31,7.78,710,1002,868,593,1486,976,306,2126,536,1062,296,1140,,33.0,6.53,
G,Humic acid extract,4,2,6.25,1.92,74.5,19.8,86.7,199.7,25.6,17.5,23.0,29.08,11.53,9.86,330,1085,810,707,279,456,1046,981,769,1063,975,485,,35.5,7.08,
G,Humic acid extract,4,4,6.34,2.03,74.2,13.4,91.9,210.2,23.2,14.7,22.3,28.11,11.19,8.03,1513,710,882,471,496,399,1291,1146,617,1247,316,1020,,35.6,4.76,
G,Humic acid extract,4,6,6.07,2.2,77.1,15.8,85.5,232.4,30.5,15.8,21.9,27.16,12.22,7.5,1085,1478,497,689,789,457,2497,593,362,391,811,1232,10.6,33.4,5.22,
G,Humic acid extract,4,8,6.27,2.12,68.9,15.6,82.2,245.3,28.1,16.2,24.5,23.09,11.78,9.41,980,377,602,1332,1497,1315,795,1979,396,789,1198,257,,30.1,5.95,
G,Humic acid extract,4,10,6.45,2.14,79.6,17.0,80.4,224.6,30.5,18.5,19.0,25.17,10.34,7.63,1076,492,486,313,510,668,488,1941,325,362,491,1631,,39.6,5.91,
G,Humic acid extract,4,12,6.33,2.1,86.7,15.1,88.8,210.4,27.9,14.6,16.3,25.98,11.19,9.95,924,519,1790,636,528,823,1493,920,323,732,842,1099,,38.8,5.93,3953.3
G,Humic acid extract,5,0,6.48,1.94,78.4,10.6,89.6,179.5,26.7,11.8,20.1,27.02,7.99,7.79,577,598,769,1427,855,568,681,927,865,433,545,1005,,39.3,5.42,
G,Humic acid extract,5,2,6.17,2.18,71.5,16.8,87.1,208.3,22.6,13.7,21.8,30.1,12.04,9.7,373,1437,1143,804,655,1068,540,832,1122,327,251,509,,42.8,4.81,
G,Humic acid extract,5,4,6.52,2.09,78.3,13.2,93.6,214.6,28.9,11.0,21.4,27.76,10.93,9.89,790,801,502,507,622,983,745,304,1122,39,931,811,,31.0,6.06,
G,Humic acid extract,5,6,6.27,2.12,76.5,14.0,82.6,244.7,35.1,14.7,22.2,22.64,12.51,10.72,289,851,1744,704,1325,895,898,914,468,796,463,1680,11.5,36.9,6.8,
G,Humic acid extract,5,8,6.35,2.29,78.4,14.3,101.2,233.2,28.5,17.5,20.4,30.18,14.02,7.64,782,1528,1092,263,534,687,627,489,656,505,433,955,,38.2,6.65,
G,Humic acid extract,5,10,5.96,2.23,73.8,15.7,108.9,228.1,27.7,15.9,20.8,23.43,15.2,10.15,755,474,672,1731,1036,801,446,938,440,1045,505,549,,36.4,6.4,
G,Humic acid extract,5,12,6.21,2.34,89.2,18.3,97.2,224.5,28.8,15.4,23.8,29.14,13.0,8.86,1425,1545,696,757,1356,750,670,767,1007,654,1231,422,,34.4,6.13,4072.2
G,Humic acid extract,6,0,5.97,2.04,85.5,15.6,83.4,205.2,29.5,17.2,19.3,22.23,8.75,8.34,315,470,794,408,504,2277,970,816,285,344,822,1707,,37.6,6.39,
G,Humic acid extract,6,2,5.95,2.0,75.9,16.1,95.1,207.6,27.7,12.8,21.7,23.97,10.7,8.24,1013,533,78,419,754,727,674,939,1333,456,775,344,,39.8,6.15,
G,Humic acid extract,6,4,6.27,2.38,75.0,13.7,78.4,240.3,34.4,12.9,19.4,24.25,13.27,6.94,337,857,822,348,869,950,777,759,1192,257,954,204,,33.5,6.08,
G,Humic acid extract,6,6,6.05,2.09,83.2,16.3,95.4,222.1,30.6,11.5,20.7,24.91,13.44,8.0,611,990,788,228,130,415,969,547,1079,838,1028,516,11.3,34.1,6.73,
G,Humic acid extract,6,8,6.26,2.33,70.1,18.5,80.2,202.4,28.0,17.3,22.3,25.22,10.39,7.09,1426,1646,77,843,473,1316,860,1031,787,371,2323,287,,43.1,6.31,
G,Humic acid extract,6,10,6.28,2.14,76.6,16.0,86.7,234.4,25.5,16.7,22.1,25.67,9.2,7.7,1147,728,637,683,771,523,576,1801,1087,881,474,174,,34.8,6.32,
G,Humic acid extract,6,12,5.95,2.17,74.3,15.9,88.7,208.9,28.7,13.7,19.1,29.92,11.43,6.36,636,552,516,1460,246,1610,1419,981,641,980,1154,491,,35.3,6.98,3627.4
H,Microbial inoculant blend 1,1,0,6.21,2.53,90.6,15.7,98.1,282.9,36.1,14.9,26.9,29.57,12.8,9.28,1024,334,1244,476,388,846,909,757,797,851,1119,655,,43.4,5.87,
H,Microbial inoculant blend 1,1,2,6.11,2.67,86.0,19.8,110.2,260.8,30.4,17.2,31.6,29.19,13.18,9.64,1527,724,1059,470,980,439,954,398,613,777,880,1029,,43.6,7.52,
H,Microbial inoculant blend 1,1,4,6.27,2.87,98.1,17.1,109.7,264.5,38.3,16.0,24.1,33.34,16.31,11.64,983,548,900,649,1383,746,640,466,1350,384,812,538,,43.0,6.93,
H,Microbial inoculant blend 1,1,6,6.34,2.62,101.3,18.9,106.5,292.9,35.2,20.7,30.0,36.62,15.57,10.64,565,393,732,1127,407,931,849,483,615,670,715,545,13.5,41.3,6.78,
H,Microbial inoculant blend 1,1,8,6.43,2.55,96.2,18.3,118.1,298.5,37.5,17.0,26.8,35.09,15.52,11.55,1035,858,663,899,1549,953,686,181,1292,374,1269,1565,,41.2,8.27,
H,Microbial inoculant blend 1,1,10,6.09,2.49,91.0,20.9,111.6,291.9,38.7,17.4,26.4,32.04,13.23,11.0,466,1116,684,503,1033,856,912,559,730,1365,475,705,,38.5,7.38,
H,Microbial inoculant blend 1,1,12,6.2,2.49,99.5,21.5,118.5,293.1,33.8,21.0,28.9,35.71,18.83,10.81,164,1074,517,750,1158,572,955,462,728,521,545,1755,,44.8,7.71,4788.5
H,Microbial inoculant blend 1,2,0,6.21,2.45,95.1,20.9,112.9,265.0,35.7,18.0,26.4,28.71,15.7,10.9,559,688,497,708,925,739,1227,344,569,609,1053,822,,37.3,6.75,
H,Microbial inoculant blend 1,2,2,6.16,2.57,90.4,18.3,97.2,306.6,36.6,19.1,25.1,29.82,17.52,8.54,904,616,504,211,695,1414,707,603,1923,1131,894,1065,,37.0,7.53,
H,Microbial inoculant blend 1,2,4,6.02,2.34,94.5,17.0,107.4,278.4,37.5,16.9,29.1,32.04,15.42,9.6,787,1202,802,764,973,592,920,486,574,1006,872,1645,,44.8,7.6,
H,Microbial inoculant blend 1,2,6,6.19,2.61,86.2,21.2,112.1,268.0,35.8,15.7,26.5,31.4,12.84,12.16,1436,868,784,591,1348,973,1038,1736,1016,1053,585,461,12.9,39.0,8.37,
H,Microbial inoculant blend 1,2,8,6.21,2.46,102.4,18.5,112.5,298.3,39.6,15.1,29.4,33.07,14.69,11.28,366,409,1015,689,1493,475,1059,932,525,572,1159,1002,,38.6,7.91,
H,Microbial inoculant blend 1,2,10,6.28,2.74,100.4,19.2,118.1,286.0,39.5,18.8,29.3,32.78,18.11,14.03,956,302,617,649,1497,1097,764,425,603,939,490,574,,41.7,8.44,
H,Microbial inoculant blend 1,2,12,6.27,2.95,100.2,19.6,116.9,290.0,34.0,19.3,27.9,29.66,15.61,9.32,727,708,727,755,463,911,1695,466,707,888,667,501,,43.2,8.41,4569.2
H,Microbial inoculant blend 1,3,0,6.49,2.57,93.6,21.0,103.9,267.9,35.8,20.7,26.0,29.31,15.14,9.67,1127,938,473,763,1027,492,800,844,1170,1073,1045,1397,,41.6,7.7,
H,Microbial inoculant blend 1,3,2,5.99,2.29,96.9,20.7,98.4,273.2,35.2,17.7,27.2,27.9,12.68,10.48,706,1305,803,905,728,655,559,832,365,753,763,875,,43.5,6.67,
H,Microbial inoculant blend 1,3,4,6.24,2.58,84.6,18.6,100.7,279.9,36.9,19.8,29.5,33.69,16.09,10.61,1976,551,896,869,1526,1196,733,605,867,678,911,701,,50.7,8.45,
H,Microbial inoculant blend 1,3,6,5.81,2.58,99.5,18.7,106.2,277.0,39.2,16.7,30.2,32.68,13.47,12.57,440,644,733,765,1674,1494,670,476,746,676,1176,566,13.3,43.5,7.24,
H,Microbial inoculant blend 1,3,8,6.18,2.65,103.1,18.0,111.0,300.1,35.9,19.1,27.6,29.44,15.49,11.45,1106,761,1974,606,942,647,859,768,973,944,924,1036,,43.0,7.41,
H,Microbial inoculant blend 1,3,10,6.29,2.57,96.6,18.3,112.6,299.1,38.1,15.8,29.6,34.27,13.89,12.53,598,994,1268,941,1580,471,1072,337,628,786,690,1187,,45.7,7.31,
H,Microbial inoculant blend 1,3,12,6.24,2.77,90.3,19.7,107.7,279.3,40.2,18.7,25.5,38.41,17.2,9.48,510,769,1053,523,503,1118,1130,305,805,438,971,352,,43.8,7.78,4311.7
H,Microbial inoculant blend 1,4,0,6.12,2.26,87.9,16.7,105.2,255.2,34.4,17.1,25.9,29.66,12.5,10.75,1449,671,380,885,1028,1407,693,699,991,1136,1621,717,,45.7,6.99,
H,Microbial inoculant blend 1,4,2,6.4,2.43,88.4,19.4,100.7,284.0,37.4,16.6,26.2,30.13,15.01,13.11,496,633,554,681,724,608,994,829,637,419,1171,682,,36.1,7.58,
H,Microbial inoculant blend 1,4,4,6.15,2.26,91.7,21.5,103.5,288.2,40.6,18.5,27.2,27.16,13.56,12.12,658,936,641,811,702,534,1220,1123,432,877,403,660,,42.9,7.85,
H,Microbial inoculant blend 1,4,6,6.34,2.47,96.7,21.9,110.5,294.5,39.7,19.3,27.7,34.49,16.19,9.6,863,832,645,1179,358,832,730,234,434,809,831,1058,13.3,36.0,7.96,
H,Microbial inoculant blend 1,4,8,6.28,2.67,89.7,18.7,103.9,296.9,34.0,17.4,29.0,31.49,13.73,12.5,1049,915,611,713,881,1139,1296,171,535,279,381,563,,47.4,8.08,
H,Microbial inoculant blend 1,4,10,6.01,2.71,97.9,19.3,111.8,293.4,36.7,19.1,31.1,31.79,13.83,11.53,576,729,908,347,1177,995,590,1012,648,1173,1154,1012,,48.7,6.94,
H,Microbial inoculant blend 1,4,12,6.33,2.87,102.1,17.7,105.7,283.8,39.8,20.1,25.4,31.82,14.43,11.58,1214,291,762,420,530,1487,583,175,798,750,824,564,,44.1,8.39,4393.0
H,Microbial inoculant blend 1,5,0,6.32,2.35,94.9,18.7,97.3,263.6,38.6,15.6,23.3,31.04,17.61,9.84,765,516,610,347,1073,965,717,404,552,1272,416,675,,43.6,7.14,
H,Microbial inoculant blend 1,5,2,6.36,2.32,100.3,16.8,110.7,267.6,36.0,17.8,27.1,33.15,16.15,12.53,893,756,1180,1077,1319,1108,242,491,452,555,565,2014,,45.8,7.13,
H,Microbial inoculant blend 1,5,4,6.27,2.59,90.3,18.1,112.6,292.7,37.2,16.3,26.1,27.99,14.83,11.34,543,639,336,682,706,849,899,888,1388,1190,998,805,,42.4,6.18,
H,Microbial inoculant blend 1,5,6,6.23,2.47,93.7,23.4,119.3,259.4,39.3,20.2,26.4,33.38,15.41,9.61,633,1418,773,939,1088,743,937,434,451,1413,1683,796,14.6,40.6,8.84,
H,Microbial inoculant blend 1,5,8,6.31,2.55,91.6,18.9,98.7,279.5,37.4,17.2,29.6,32.72,14.2,11.02,802,494,678,614,1078,907,457,898,621,594,561,646,,51.5,7.87,
H,Microbial inoculant blend 1,5,10,6.32,2.58,94.5,21.0,101.9,273.2,38.0,21.8,27.2,35.15,15.52,13.16,465,971,688,935,950,1007,851,423,1256,1074,670,2025,,51.9,7.37,
H,Microbial inoculant blend 1,5,12,6.07,2.58,97.6,23.2,111.7,282.2,36.7,21.7,31.0,32.98,12.73,10.44,1019,701,1148,575,567,278,862,815,1025,366,916,507,,44.9,7.68,4065.3
H,Microbial inoculant blend 1,6,0,6.17,2.56,90.0,17.7,98.9,257.8,40.0,15.8,27.8,31.39,14.59,9.77,540,430,725,675,1029,505,467,606,881,1372,299,1052,,42.5,6.92,
H,Microbial inoculant blend 1,6,2,6.19,2.41,94.6,18.3,108.6,276.8,35.1,15.6,22.6,40.86,16.82,12.45,536,502,642,1129,1048,563,960,294,568,343,1008,914,,41.6,8.34,
H,Microbial inoculant blend 1,6,4,6.34,2.31,96.8,17.6,111.6,266.0,36.8,17.5,26.9,30.61,14.35,9.62,809,296,762,1090,1246,1003,993,977,537,649,397,624,,44.1,7.43,
H,Microbial inoculant blend 1,6,6,6.03,2.57,104.3,21.3,110.6,263.8,34.7,17.3,30.5,37.74,15.28,10.86,1505,977,704,749,1046,1698,896,374,818,817,788,837,14.4,43.7,7.93,
H,Microbial inoculant blend 1,6,8,6.36,2.52,91.5,17.7,109.0,296.2,36.4,20.2,21.8,32.22,17.09,11.21,671,151,1459,800,663,1230,743,345,902,1100,469,871,,43.1,7.28,
H,Microbial inoculant blend 1,6,10,5.8,2.77,99.0,17.2,114.8,283.7,37.5,18.0,29.5,31.51,13.72,12.96,1057,1129,917,567,1202,1388,549,1099,1117,386,1301,760,,43.6,7.9,
H,Microbial inoculant blend 1,6,12,6.2,2.85,97.7,19.8,105.1,289.6,39.9,19.0,27.3,35.42,18.15,11.97,1455,1280,826,1103,1214,781,1303,484,681,959,1157,754,,42.4,7.94,4536.6
I,Microbial inoculant blend 2,1,0,6.09,2.32,78.2,19.8,93.3,216.4,28.6,17.9,22.0,23.41,13.77,8.8,1132,1129,285,682,1891,563,500,1843,799,439,476,572,,39.7,6.37,
I,Microbial inoculant blend 2,1,2,6.27,2.17,86.5,16.3,92.3,225.9,31.4,19.4,23.2,24.5,14.08,8.89,698,1082,627,777,660,1391,302,1109,808,1445,725,913,,35.9,6.25,
I,Microbial inoculant blend 2,1,4,6.2,2.32,73.4,16.5,96.6,249.9,37.5,16.6,21.4,22.92,13.92,8.57,1120,285,1170,166,413,921,545,1012,912,388,781,899,,38.6,5.81,
I,Microbial inoculant blend 2,1,6,6.28,2.34,87.6,15.1,108.4,256.2,32.2,14.9,26.7,25.51,16.65,9.04,1212,969,636,841,526,1012,811,715,398,497,1146,718,11.5,46.0,6.16,
I,Microbial inoculant blend 2,1,8,6.23,2.4,84.6,15.7,94.2,241.2,31.4,19.2,24.4,27.68,13.41,10.73,790,353,906,646,591,1207,397,740,876,1332,392,1240,,41.0,7.8,
I,Microbial inoculant blend 2,1,10,6.37,2.51,85.2,17.3,98.3,230.7,38.5,18.4,23.9,33.6,12.44,7.88,1205,623,869,946,431,370,350,214,798,1136,640,1228,,37.3,6.53,
I,Microbial inoculant blend 2,1,12,6.28,2.45,83.0,18.8,96.0,276.7,36.1,15.2,23.8,28.49,13.92,10.0,380,867,652,455,1981,588,102,857,323,830,908,950,,34.8,6.28,3948.9
I,Microbial inoculant blend 2,2,0,6.37,2.48,81.2,15.5,82.3,247.0,29.9,21.1,21.2,33.82,13.6,8.07,1017,604,1164,798,768,340,768,480,1970,1121,341,576,,35.8,6.54,
I,Microbial inoculant blend 2,2,2,6.37,2.39,91.0,19.2,82.9,219.9,26.7,17.2,21.6,26.47,12.26,9.92,585,1393,1377,441,1129,508,878,709,1139,581,1385,1452,,43.5,5.28,
I,Microbial inoculant blend 2,2,4,6.08,2.48,88.7,17.6,103.8,213.0,35.0,18.2,22.1,36.26,13.13,6.98,924,1173,584,1154,504,660,789,64,270,264,942,688,,37.7,6.9,
I,Microbial inoculant blend 2,2,6,6.2,2.43,90.0,16.7,86.6,234.2,32.8,15.1,21.4,29.02,16.92,9.19,714,1076,1050,613,1507,541,892,714,841,1191,722,1776,12.5,40.8,6.77,
I,Microbial inoculant blend 2,2,8,6.53,2.27,92.0,17.1,90.0,246.6,31.9,17.8,24.6,26.18,15.59,11.24,1246,616,578,698,1032,559,1263,605,410,569,732,1273,,37.7,7.58,
I,Microbial inoculant blend 2,2,10,6.26,2.36,89.0,17.4,103.4,256.1,33.0,13.4,26.1,28.57,14.69,10.67,857,1071,1024,776,809,761,855,485,1246,1426,937,1079,,33.7,6.89,
I,Microbial inoculant blend 2,2,12,6.47,2.47,85.7,18.2,107.2,255.8,42.4,16.3,27.6,32.41,12.54,9.74,1131,821,937,681,698,659,1675,292,602,1040,661,770,,40.9,6.95,4306.3
I,Microbial inoculant blend 2,3,0,6.26,2.25,82.7,19.2,95.0,226.3,25.9,13.2,21.8,27.17,11.51,9.72,556,1155,437,265,749,495,792,547,651,740,1284,529,,41.9,6.44,
I,Microbial inoculant blend 2,3,2,6.18,2.39,87.8,19.0,96.4,236.2,24.7,13.1,22.4,24.63,13.91,7.89,531,1190,855,1030,592,606,795,1193,427,1548,1061,503,,39.9,6.48,
I,Microbial inoculant blend 2,3,4,6.14,2.26,80.1,16.6,103.1,219.0,33.6,18.8,23.2,26.79,14.3,8.43,608,194,507,608,1411,972,505,1324,1126,347,1495,472,,39.2,7.39,
I,Microbial inoculant blend 2,3,6,6.32,2.13,87.4,16.8,97.9,249.3,36.7,18.3,22.2,28.64,12.31,7.75,701,297,896,571,356,429,2117,964,1194,549,1733,727,12.7,42.1,6.25,
I,Microbial inoculant blend 2,3,8,6.13,2.38,92.5,16.9,98.8,234.0,39.1,17.1,27.1,29.34,13.38,8.13,624,276,1041,507,617,1284,1113,328,598,627,1077,1097,,39.1,7.11,
I,Microbial inoculant blend 2,3,10,6.24,2.38,90.3,17.8,104.2,249.2,38.5,18.4,26.1,31.17,15.3,11.31,631,707,1136,1764,1230,1435,495,360,569,739,402,827,,42.9,7.27,
I,Microbial inoculant blend 2,3,12,6.45,2.53,101.7,22.3,90.8,224.1,34.5,18.2,24.9,32.24,13.23,9.41,477,1037,628,653,417,700,485,1019,1113,1569,408,464,,40.5,8.12,4013.0
I,Microbial inoculant blend 2,4,0,6.53,2.2,89.5,14.0,92.3,226.0,36.2,16.1,17.8,23.57,10.78,10.42,999,374,479,982,1197,871,1087,1042,650,540,1006,945,,37.7,6.6,
I,Microbial inoculant blend 2,4,2,6.1,2.34,83.3,15.7,103.3,240.9,34.0,18.6,26.9,29.68,12.13,7.74,695,626,924,543,762,1091,612,365,1108,746,312,618,,43.7,7.73,
I,Microbial inoculant blend 2,4,4,6.23,2.37,89.0,16.9,112.0,227.6,30.8,14.6,27.6,30.78,11.95,8.58,1281,1210,953,568,396,998,1016,1197,1283,612,1004,437,,39.4,6.48,
I,Microbial inoculant blend 2,4,6,5.99,2.35,84.7,18.8,109.8,252.4,31.0,17.7,24.1,28.09,11.65,9.22,710,1046,1055,676,677,166,1526,623,259,1420,292,1349,14.1,36.3,6.62,
I,Microbial inoculant blend 2,4,8,6.05,2.23,83.9,18.2,106.6,243.6,30.5,17.6,25.7,29.97,13.68,9.79,622,1054,700,725,1082,479,650,672,918,634,594,802,,40.1,7.45,
I,Microbial inoculant blend 2,4,10,6.11,2.68,91.1,15.8,101.2,264.8,33.0,14.3,22.2,31.31,10.64,8.35,1287,481,453,646,984,754,1110,518,1039,740,1375,1292,,44.6,6.4,
I,Microbial inoculant blend 2,4,12,6.21,2.55,89.8,17.1,91.1,223.0,40.8,17.8,23.6,31.17,12.14,9.85,518,193,1200,987,894,858,1287,1145,663,834,333,603,,37.8,7.26,3834.4
I,Microbial inoculant blend 2,5,0,6.25,2.13,73.3,18.5,96.4,229.0,30.0,18.4,24.5,30.94,11.47,9.36,948,925,915,994,968,642,980,577,708,1807,784,1074,,41.3,6.73,
I,Microbial inoculant blend 2,5,2,5.83,2.26,83.7,16.1,96.2,210.7,23.6,14.3,24.1,18.26,11.26,7.15,624,574,1080,672,752,658,1116,907,404,809,892,757,,39.0,7.15,
I,Microbial inoculant blend 2,5,4,6.29,2.17,78.8,17.2,98.5,231.6,37.4,17.8,22.1,26.21,12.46,9.22,1127,699,966,800,1013,444,457,1031,298,628,817,588,,40.5,7.63,
I,Microbial inoculant blend 2,5,6,5.97,2.43,72.6,19.1,85.4,282.1,31.9,18.9,26.8,27.5,12.45,8.77,1080,548,354,624,614,699,538,429,862,1645,520,663,13.3,38.6,7.74,
I,Microbial inoculant blend 2,5,8,6.09,2.34,92.5,16.8,100.5,265.8,31.9,14.5,20.8,31.0,13.86,11.2,672,906,994,608,1449,403,765,579,745,349,1291,607,,40.0,7.04,
I,Microbial inoculant blend 2,5,10,6.08,2.61,91.2,14.8,89.5,238.5,38.8,18.6,28.8,29.72,13.11,8.59,1237,597,962,456,785,1520,1435,554,1088,1335,1034,345,,41.6,7.61,
I,Microbial inoculant blend 2,5,12,6.24,2.58,92.6,16.9,100.5,263.2,33.2,20.0,22.3,31.07,14.84,9.87,769,1143,585,1156,1438,1544,1190,550,865,762,463,1120,,47.7,7.4,3343.2
I,Microbial inoculant blend 2,6,0,6.61,2.03,81.0,14.7,89.6,238.3,25.4,15.6,25.9,24.97,10.18,9.13,604,330,1156,542,655,1452,458,960,926,698,857,1492,,39.4,5.9,
I,Microbial inoculant blend 2,6,2,6.38,2.29,80.2,16.2,89.4,253.7,34.1,16.4,23.2,25.9,9.2,7.76,592,899,792,562,784,909,331,1536,1549,521,1912,795,,39.8,6.18,
I,Microbial inoculant blend 2,6,4,6.2,2.52,83.6,15.2,88.3,243.6,30.3,16.7,19.7,30.45,11.12,9.67,696,623,933,655,1428,1019,671,1154,572,860,1145,553,,35.3,7.67,
I,Microbial inoculant blend 2,6,6,6.26,2.08,93.1,18.5,95.1,231.1,28.4,20.9,21.7,25.02,13.46,7.81,342,949,848,819,486,400,1158,457,1547,717,565,1343,12.7,42.7,7.71,
I,Microbial inoculant blend 2,6,8,6.41,2.63,92.3,16.2,104.0,260.1,39.3,15.0,25.8,27.21,14.06,9.67,1083,941,909,715,945,2036,655,653,633,219,860,1109,,37.7,7.38,
I,Microbial inoculant blend 2,6,10,6.42,2.43,89.4,15.6,106.5,280.0,35.0,16.0,24.3,28.43,12.87,10.87,685,564,495,575,1613,638,690,1098,717,465,934,865,,43.8,7.14,
I,Microbial inoculant blend 2,6,12,6.13,2.37,93.4,16.0,95.7,266.1,33.2,14.7,28.5,26.83,13.34,9.5,539,734,1061,1598,334,769,852,725,813,770,1135,817,,46.4,6.41,4124.5
J,Combined organic-mineral blend,1,0,6.18,2.23,87.0,17.0,98.5,226.2,31.6,14.7,22.9,27.64,15.59,9.17,191,844,628,1666,345,1151,497,459,652,819,539,456,,40.8,6.75,
J,Combined organic-mineral blend,1,2,6.27,2.25,83.3,18.6,105.1,224.0,32.0,17.8,28.5,33.8,11.58,11.17,894,1390,1178,912,695,959,787,463,1276,399,876,216,,41.4,6.82,
J,Combined organic-mineral blend,1,4,6.35,2.44,86.3,16.7,95.4,252.6,37.4,16.4,27.8,30.02,13.68,12.69,1920,557,931,293,1060,555,1230,467,382,610,774,511,,43.6,6.96,
J,Combined organic-mineral blend,1,6,6.39,2.18,84.3,18.4,101.2,237.4,36.5,15.9,22.5,30.81,13.3,9.34,432,567,730,822,334,405,997,1413,1160,613,1005,613,10.4,40.7,6.44,
J,Combined organic-mineral blend,1,8,6.05,2.44,80.3,18.7,103.3,248.2,34.0,14.9,26.7,30.36,13.92,10.73,761,1564,698,1583,1075,533,1716,611,804,554,967,490,,39.1,7.79,
J,Combined organic-mineral blend,1,10,6.15,2.37,84.0,16.4,101.7,258.5,29.9,21.5,24.6,30.45,12.72,9.97,808,828,1048,941,1078,1108,865,821,731,1225,715,330,,36.8,6.46,
J,Combined organic-mineral blend,1,12,6.27,2.37,85.9,17.2,107.3,248.2,35.0,16.9,27.6,33.24,11.0,11.71,603,468,2210,663,679,933,498,921,1302,470,1655,578,,39.2,7.72,4357.1
J,Combined organic-mineral blend,2,0,6.27,2.21,80.9,17.1,87.5,258.3,37.3,15.7,24.3,31.56,15.77,11.35,1333,2321,727,754,1593,660,456,649,1324,575,578,817,,36.4,6.39,
J,Combined organic-mineral blend,2,2,6.13,2.4,83.5,18.4,89.7,241.6,30.9,14.1,23.6,33.65,11.49,9.49,380,516,586,293,1044,628,482,186,873,1208,552,1515,,42.9,6.64,
J,Combined organic-mineral blend,2,4,6.31,2.43,82.5,17.7,97.9,228.1,30.2,15.4,26.4,31.78,14.27,10.33,980,925,359,446,1876,1544,1177,1200,410,970,1086,564,,38.9,6.9,
J,Combined organic-mineral blend,2,6,5.92,2.27,76.5,16.4,106.4,232.5,35.8,22.0,28.1,29.75,14.66,8.32,334,894,544,791,798,903,583,1189,460,453,496,1055,12.1,39.2,7.92,
J,Combined organic-mineral blend,2,8,6.19,2.23,92.6,17.7,109.5,257.9,34.1,19.8,21.0,28.04,12.08,7.49,1106,1192,1193,652,1056,519,1011,761,595,1029,1053,634,,40.8,7.47,
J,Combined organic-mineral blend,2,10,6.32,2.56,75.9,19.6,103.7,235.0,36.9,17.6,26.2,33.25,14.41,8.52,769,1080,310,385,880,1074,1028,1091,579,491,1159,482,,39.3,7.49,
J,Combined organic-mineral blend,2,12,6.27,2.46,91.5,18.9,106.6,249.6,37.9,18.1,24.5,31.4,14.49,11.75,508,870,695,368,2377,534,870,605,763,493,1384,1070,,39.7,7.93,4509.8
J,Combined organic-mineral blend,3,0,6.42,2.25,76.7,16.6,95.5,261.9,32.8,16.1,23.6,29.2,13.64,8.61,750,496,395,1927,743,1353,889,956,1165,957,525,1092,,40.4,6.08,
J,Combined organic-mineral blend,3,2,6.25,2.51,85.1,14.7,91.6,238.1,31.6,16.6,24.5,33.64,12.85,8.26,1492,705,1127,275,1217,662,959,627,1022,1131,863,653,,39.8,6.98,
J,Combined organic-mineral blend,3,4,6.19,2.33,87.5,19.2,95.4,228.7,32.9,20.0,21.2,30.85,14.92,6.97,784,654,529,608,415,347,1153,450,717,914,564,1138,,41.5,7.11,
J,Combined organic-mineral blend,3,6,6.21,2.41,81.6,15.5,98.6,240.1,37.9,17.5,22.7,28.54,13.5,9.88,945,286,644,647,985,1358,410,1301,1067,1532,284,178,14.4,39.3,6.01,
J,Combined organic-mineral blend,3,8,6.22,2.28,91.8,16.2,102.1,237.0,42.0,18.0,24.5,28.92,12.62,9.21,546,555,553,865,1556,1086,1232,707,1142,580,1066,717,,40.3,7.03,
